index,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
0,1849-01-01,26.704,1.435,Abidjan,Côte D'Ivoire,5.63N,3.23W
1,1849-02-01,27.434,1.362,Abidjan,Côte D'Ivoire,5.63N,3.23W
2,1849-03-01,28.101,1.612,Abidjan,Côte D'Ivoire,5.63N,3.23W
3,1849-04-01,26.14,1.3869999999999998,Abidjan,Côte D'Ivoire,5.63N,3.23W
4,1849-05-01,25.427,1.2,Abidjan,Côte D'Ivoire,5.63N,3.23W
5,1849-06-01,24.844,1.402,Abidjan,Côte D'Ivoire,5.63N,3.23W
6,1849-07-01,24.058000000000003,1.254,Abidjan,Côte D'Ivoire,5.63N,3.23W
7,1849-08-01,23.576,1.265,Abidjan,Côte D'Ivoire,5.63N,3.23W
8,1849-09-01,23.662,1.226,Abidjan,Côte D'Ivoire,5.63N,3.23W
9,1849-10-01,25.263,1.175,Abidjan,Côte D'Ivoire,5.63N,3.23W
10,1849-11-01,26.332,1.507,Abidjan,Côte D'Ivoire,5.63N,3.23W
11,1849-12-01,25.45,1.838,Abidjan,Côte D'Ivoire,5.63N,3.23W
12,1850-01-01,25.803,1.943,Abidjan,Côte D'Ivoire,5.63N,3.23W
13,1850-02-01,27.89,1.43,Abidjan,Côte D'Ivoire,5.63N,3.23W
14,1850-03-01,27.852,2.173,Abidjan,Côte D'Ivoire,5.63N,3.23W
15,1850-04-01,26.547,1.662,Abidjan,Côte D'Ivoire,5.63N,3.23W
16,1850-05-01,25.379,1.355,Abidjan,Côte D'Ivoire,5.63N,3.23W
17,1850-06-01,24.903,1.178,Abidjan,Côte D'Ivoire,5.63N,3.23W
18,1850-07-01,24.040000000000006,1.301,Abidjan,Côte D'Ivoire,5.63N,3.23W
19,1850-08-01,23.758000000000003,1.2819999999999998,Abidjan,Côte D'Ivoire,5.63N,3.23W
20,1850-09-01,24.0,1.22,Abidjan,Côte D'Ivoire,5.63N,3.23W
21,1850-10-01,24.491,1.178,Abidjan,Côte D'Ivoire,5.63N,3.23W
22,1850-11-01,25.542,1.719,Abidjan,Côte D'Ivoire,5.63N,3.23W
23,1850-12-01,26.014,1.6030000000000002,Abidjan,Côte D'Ivoire,5.63N,3.23W
24,1851-01-01,26.789,1.249,Abidjan,Côte D'Ivoire,5.63N,3.23W
25,1851-02-01,27.363000000000003,1.218,Abidjan,Côte D'Ivoire,5.63N,3.23W
26,1851-03-01,27.181,1.4280000000000002,Abidjan,Côte D'Ivoire,5.63N,3.23W
27,1851-04-01,26.604,1.654,Abidjan,Côte D'Ivoire,5.63N,3.23W
28,1851-05-01,26.212,1.195,Abidjan,Côte D'Ivoire,5.63N,3.23W
29,1851-06-01,24.898000000000003,1.329,Abidjan,Côte D'Ivoire,5.63N,3.23W
30,1851-07-01,24.318,1.463,Abidjan,Côte D'Ivoire,5.63N,3.23W
31,1851-08-01,23.752,1.394,Abidjan,Côte D'Ivoire,5.63N,3.23W
32,1851-09-01,24.083,1.121,Abidjan,Côte D'Ivoire,5.63N,3.23W
33,1851-10-01,25.138,1.505,Abidjan,Côte D'Ivoire,5.63N,3.23W
34,1851-11-01,25.527,1.409,Abidjan,Côte D'Ivoire,5.63N,3.23W
35,1851-12-01,26.203000000000003,2.358,Abidjan,Côte D'Ivoire,5.63N,3.23W
36,1852-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
37,1852-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
38,1852-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
39,1852-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
40,1852-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
41,1852-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
42,1852-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
43,1852-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
44,1852-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
45,1852-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
