"number","name","earnings","gold","silver","bronze","premier"
1,"T1","$6,182,083",15,7,1,13
2,"Invictus Gaming","$3,805,688",7,6,8,3
3,"Royal Never Give Up","$3,392,337",12,4,0,8
4,"EDward Gaming","$2,993,530",13,4,4,10
5,"Fnatic","$2,875,593",15,12,6,10
6,"G2 Esports","$2,740,179",14,5,6,11
7,"Samsung Galaxy","$2,650,967",4,2,1,1
8,"Cloud9","$1,874,352",10,8,1,5
9,"DAMWON Gaming","$1,722,401",8,2,2,5
10,"FunPlus Phoenix","$1,714,349",2,5,2,2
11,"TSM","$1,583,988",12,11,4,8
12,"Team Liquid","$1,462,183",6,8,3,4
13,"Team WE","$1,326,785",7,4,4,3
14,"SK Telecom T1 K","$1,268,401",4,0,2,3
15,"Flash Wolves","$1,196,184",9,1,3,7
16,"Top Esports","$1,123,872",4,5,1,2
17,"Taipei Assassins","$1,057,800",1,1,1,1
18,"ROX Tigers","$979,303",2,3,1,1
19,"JD Gaming","$962,946",2,4,4,1
20,"KT Rolster","$825,521",3,7,3,1
21,"DRX","$760,337",2,5,2,2
22,"Gen.G Esports","$713,884",2,3,2,0
23,"DetonatioN FocusMe","$626,778",11,6,1,1
24,"Counter Logic Gaming","$609,975",5,7,6,2
25,"H2K","$584,267",3,1,3,0
26,"Oh My God","$563,443",2,3,2,2
27,"Weibo Gaming","$561,025",2,1,2,0
28,"Freecs","$494,236",1,2,4,0
29,"MAD Lions","$491,959",8,1,1,2
30,"Gambit Esports","$486,433",7,5,1,0
31,"ahq e-Sports Club","$484,629",1,3,4,0
32,"Unicorns Of Love","$423,061",7,6,2,0
33,"Griffin","$414,848",3,3,1,1
34,"100 Thieves","$395,750",1,2,0,1
35,"Origen","$384,795",5,3,0,1
36,"LGD Gaming","$372,686",1,2,1,1
37,"GAM Esports","$368,589",6,5,1,0
38,"Longzhu Gaming","$336,055",1,1,0,1
39,"Misfits Gaming","$321,021",1,2,0,0
40,"Splyce","$305,162",2,2,2,1
41,"LDLC OL","$296,575",14,7,3,0
42,"Azubu Frost","$293,102",0,2,0,0
43,"Rare Atom","$288,055",2,0,0,0
44,"MOUZ","$283,795",7,5,3,0
45,"Moscow Five","$265,000",2,1,0,1
46,"SK Gaming","$260,165",1,5,4,0
47,"Saigon Buffalo","$257,807",2,4,1,0
48,"Rogue","$255,250",0,1,2,0
49,"PSG Talon","$240,250",4,1,0,0
50,"Misfits Premier","$238,754",7,3,2,0
51,"Team Vitality","$235,684",0,0,1,0
52,"Albus NoX Luna","$226,138",1,0,0,0
53,"Illuminar Gaming","$217,127",6,5,3,0
54,"BIG","$217,054",6,2,1,0
55,"eSuba","$213,108",9,2,0,0
56,"Counter Logic Gaming Europe","$212,224",1,1,1,0
57,"GamersOrigin","$209,008",11,7,7,0
58,"paiN Gaming","$204,021",6,7,3,0
59,"J Team","$201,118",1,2,5,1
60,"Hanwha Life Esports","$200,751",0,1,1,0
61,"FlyQuest","$200,625",0,2,1,0
62,"INTZ","$198,121",7,3,0,0
63,"SuperMassive Blaze","$197,851",6,3,0,2
64,"KaBuM! e-Sports","$197,188",7,0,1,1
65,"Snake Esports","$186,846",0,1,1,0
66,"Anyone's Legend","$183,570",1,2,2,1
67,"Ascension Gaming","$172,808",5,3,1,0
68,"Kaos Latin Gamers","$170,507",4,4,0,0
69,"MAD Team","$157,583",0,2,3,0
70,"Invictus Gaming Young","$156,528",2,0,0,0
71,"Millenium","$154,844",8,4,0,0
72,"FC Schalke 04 Esports","$152,806",0,2,2,0
73,"Dire Wolves","$152,679",5,1,2,1
74,"Rainbow7","$152,537",5,1,3,0
75,"Isurus","$151,214",2,4,3,0
76,"Vega Squadron","$147,700",2,4,1,0
77,"Immortals","$147,457",0,2,2,0
78,"Infinity","$147,125",5,2,2,0
79,"EURONICS Gaming","$146,785",6,1,1,0
80,"Dignitas","$141,000",1,2,4,0
81,"Jin Air Green Wings","$140,151",0,2,0,0
82,"EVOS Esports","$138,492",1,1,4,0
83,"Hong Kong Attitude","$132,776",2,1,1,0
84,"MEGA Esports","$129,609",3,2,1,0
85,"CJ Entus Blaze","$128,986",1,1,0,1
86,"ESports Connected","$128,509",2,0,0,0
87,"RED Canids","$127,938",5,0,3,1
88,"Fenerbahçe Esports","$127,884",4,1,0,1
89,"Fnatic Rising","$127,696",13,6,1,0
90,"Machi Esports","$127,580",1,2,4,0
91,"LNG Esports","$127,317",0,1,0,0
92,"Karmine Corp","$118,607",3,2,1,0
93,"KT Rolster Arrows","$117,978",1,0,0,1
94,"G-Rex","$117,342",1,2,1,0
95,"AGO ROGUE","$116,755",5,1,1,0
96,"Alliance","$110,000",1,0,0,1
97,"V3 Esports","$107,449",1,2,1,0
98,"Keyd Stars","$104,141",3,5,2,2
99,"FC Schalke 04 Evolution","$100,888",1,2,4,0
100,"Team Flash","$96,580",2,1,1,0
101,"Bilibili Gaming","$95,376",0,2,0,0
102,"Ninjas in Pyjamas","$90,564",1,7,0,0
103,"RoX","$88,053",0,4,0,0
104,"ThunderTalk Gaming","$87,832",4,0,0,0
105,"Giants","$85,619",6,4,0,0
106,"Vitality.Bee","$84,474",3,3,4,0
107,"SK Gaming Prime","$83,313",2,5,1,0
108,"Cloud9 Academy","$81,500",3,4,0,0
109,"JD-XL","$79,761",4,10,2,0
110,"M19","$79,525",0,3,0,0
111,"MVP","$78,591",0,1,0,0
112,"Kongdoo Monster","$77,548",0,3,0,0
113,"Nongshim RedForce","$74,677",1,2,1,0
114,"GamerLegion","$74,652",1,1,3,0
115,"K1CK","$72,996",2,6,1,0
116,"Evil Geniuses","$72,900",1,1,2,0
117,"Clutch Gaming","$72,813",1,0,0,0
118,"CNB e-Sports Club","$72,023",0,3,2,0
119,"SANDBOX Gaming","$70,935",0,1,1,0
120,"Lemondogs","$70,000",0,1,0,0
121,"Flamengo Esports","$69,527",1,4,0,0
122,"Ad Hoc Gaming","$68,976",0,4,3,0
123,"Team oNe eSports","$67,595",1,3,1,0
124,"Beyond Gaming","$66,938",0,2,0,0
125,"Team Just","$66,607",0,1,2,0
126,"Virtus.pro","$65,686",1,1,0,0
127,"PEACE","$63,938",1,1,0,0
128,"All Knights","$62,930",1,2,2,0
129,"PENTAGRAM","$61,609",6,3,2,1
130,"100 Thieves Academy","$59,000",2,0,3,0
131,"Liyab Esports","$58,836",4,2,0,0
132,"Team Curse","$57,500",1,0,1,0
133,"Winthrop University","$56,938",2,3,1,0
134,"Gentside","$55,234",1,3,3,0
135,"PDW","$53,741",2,3,3,0
136,"SK Telecom T1 S","$53,414",0,0,0,0
137,"FunPlus Phoenix Blaze","$52,939",0,1,2,0
138,"Azubu Blaze","$52,799",2,1,0,0
139,"No Org","$50,000",4,0,0,0
140,"against All authority","$48,855",3,4,0,0
141,"Dragon Army","$48,608",0,1,0,0
142,"Suppup eSports","$46,939",3,0,0,0
143,"CERBERUS Esports","$46,932",1,1,0,0
144,"Maryville University","$46,800",3,2,4,0
145,"Rebirth eSports","$46,512",1,4,2,0
146,"Golden Guardians Academy","$45,125",1,3,2,0
147,"Team Liquid Academy","$43,600",2,1,0,0
148,"Pentanet.GG","$42,500",1,1,0,0
149,"Legacy Esports","$41,406",3,0,4,1
150,"Solary","$41,004",2,2,0,0
151,"Team ROCCAT","$40,752",0,0,2,0
152,"LowLandLions","$40,465",7,1,2,0
153,"Chiefs Esports Club","$39,258",2,5,4,1
154,"Team Singularity","$39,082",7,1,2,0
155,"Sector One","$38,756",6,6,2,0
156,"CrowCrowd","$38,719",0,2,0,0
157,"Crvena zvezda Esports","$38,645",2,4,0,0
158,"Movistar Riders","$38,359",1,2,1,0
159,"Furious Gaming","$38,076",2,2,2,0
160,"ASUS ROG ELITE","$37,865",1,2,0,0
161,"Excel Esports","$37,718",5,3,0,0
162,"Elements Pro Gaming","$37,622",0,1,0,0
163,"KlikTech","$37,615",2,0,1,0
164,"Shu Dai Xiong Gaming","$36,973",0,1,1,0
165,"Unicorns of Love Sexy Edition","$36,340",0,2,1,0
166,"We Love Gaming","$35,891",5,2,2,0
167,"SeolHaeOne Prince","$35,637",0,0,2,0
168,"TSM Academy","$35,500",1,1,1,0
169,"Echo Fox","$35,000",0,1,2,0
170,"Vaevictis eSports","$34,885",0,2,0,0
171,"Gen.G Challengers","$34,806",1,0,1,0
172,"Riddle Esports","$34,673",1,4,0,0
173,"Tricked Esport","$32,881",1,0,1,0
174,"UCAM Esports Club","$32,797",1,2,0,0
175,"For The Win Esports","$32,362",5,4,1,0
176,"Team Echo Zulu","$32,285",3,6,3,0
177,"ROG Esport","$32,252",2,0,1,0
178,"Spear Gaming","$32,164",3,1,1,0
179,"Team Atlantis","$31,990",2,0,0,0
180,"Copenhagen Wolves","$31,722",0,2,0,0
181,"SPGeSports","$31,594",1,2,0,0
182,"Resurgence","$31,518",0,1,0,0
183,"Rogue Esports Club","$31,072",1,1,0,0
184,"Royal Youth","$29,688",2,2,0,1
185,"Giants Gaming","$29,574",1,0,0,0
186,"devils.one","$29,486",1,1,1,0
187,"Bilibili Gaming Junior","$29,308",0,1,0,0
188,"Victory Five","$29,027",0,0,0,0
189,"FURIA Esports","$28,582",1,0,1,0
190,"Galatasaray Esports","$27,813",1,0,0,0
191,"South Korea","$27,458",3,1,0,0
192,"100 Thieves Next","$27,163",3,2,1,0
193,"Barrage Esports","$26,955",1,0,0,0
194,"T1 Challengers","$26,759",1,0,0,0
195,"Dark Passage","$26,500",2,0,1,0
196,"Evil Geniuses Academy","$26,000",0,2,1,0
197,"Team AURORA","$25,668",1,0,0,1
198,"Lunary","$25,604",2,1,2,0
199,"Lowkey Esports","$25,463",0,1,0,0
200,"One Breath Gaming","$25,269",0,0,1,0
201,"Estral Esports","$25,100",5,1,0,0
202,"FlyQuest Academy","$24,600",1,1,0,0
203,"Panathinaikos A.C. eSports","$24,557",1,0,1,0
204,"ANEW Esports","$24,000",2,2,0,0
205,"IziDream","$23,940",5,0,0,0
206,"Natus Vincere","$23,579",0,0,0,0
207,"Cloud9 Eclipse","$23,250",2,0,0,0
208,"Brion Esports","$22,753",0,0,1,0
209,"CLG Academy","$22,600",2,1,0,0
210,"Hard Random","$22,565",1,1,1,0
211,"MnM Gaming","$22,324",1,5,6,0
212,"Steelwolves Gaia","$22,168",0,2,0,0
213,"Dignitas Academy","$21,500",1,0,0,0
214,"Out of the Blue Team","$21,201",2,0,1,0
215,"Team Secret","$21,022",0,0,1,0
216,"Ventus Esports","$20,628",2,0,0,0
217,"Team VSG","$20,467",0,2,0,0
218,"Outplayed","$20,257",1,3,0,0
219,"Hanwha Life Challengers","$19,946",0,1,0,0
220,"Friends Forever QTV Gaming","$19,911",0,0,2,0
221,"00 Nation","$19,903",4,0,1,0
222,"PENTA 1860","$19,694",4,1,0,0
223,"Anorthosis Famagusta Esports","$19,033",3,1,0,0
224,"ArkAngel","$18,659",0,0,1,0
225,"Bigetron Esports","$18,414",1,0,0,0
226,"Enclave","$18,275",1,3,3,0
