Age,Phone_Hours_Per_Day,Sleep_Hours_Per_Night,Stress_Level_1_to_10
17,6.6,6.8,8.0
18,2.8,7.9,7.0
16,7.3,5.8,1.0
18,5.7,7.2,8.0
18,4.2,7.4,9.0
15,2.7,8.7,7.0
16,6.1,9.7,5.0
16,3.6,8.2,4.0
16,2.2,7.9,6.0
18,4.3,6.3,4.0
17,4.1,5.8,6.0
16,5.1,7.7,5.0
18,4.6,7.7,7.0
15,7.4,8.2,4.0
17,6.4,8.3,4.0
15,4.7,7.9,6.0
17,3.2,5.7,9.0
18,7.4,8.6,5.0
14,6.6,7.4,4.0
17,10.3,6.4,7.0
15,5.5,7.0,6.0
18,8.3,5.8,3.0
17,5.9,7.1,4.0
14,5.2,8.4,7.0
14,2.0,7.1,6.0
16,6.4,6.5,1.0
16,3.3,7.2,6.0
15,4.0,8.1,7.0
17,4.9,5.9,3.0
17,4.4,6.3,6.0
16,1.9,7.7,9.0
17,3.4,6.0,6.0
17,6.9,9.8,4.0
14,6.4,7.3,4.0
16,6.4,6.4,5.0
18,5.3,6.5,6.0
16,6.3,6.9,5.0
18,5.5,6.8,6.0
14,4.7,5.0,5.0
15,7.3,9.0,5.0
17,4.5,7.5,7.0
14,3.5,7.5,3.0
17,7.4,8.5,5.0
15,7.5,6.2,5.0
15,1.9,6.6,7.0
14,6.3,8.0,5.0
15,0.9,7.4,6.0
18,7.1,7.9,7.0
15,3.1,7.4,1.0
17,6.6,7.2,7.0
